"Esp connection id","ESP","Domain Grouped by ESP","Targeted","Sent","Success","Success Rate","Failed","Failed Rate","Last Stats Date","Last Sent Date","Hard Bounces","Hard Bounces Rate","Soft Bounces","Soft Bounces Rate","Opens","Opens Rate","Unique Opens","Unique Opens Rate","Clicks","Clicks Rate","Unique Clickers","Unique Clicks Rate","Unsubscribes","Unsubscribes Rate","Complaints","Complaints Rate","Post-backs","Post Back Clicks Rate","CTR","CTR Rate","uCTR","UCTR Rate"
1091153,"Ongage SMTP - og.dailythrillbox.com","gmx.de",108,108,108,"100%",0,"0%","2026-04-04 08:00:00","2026-04-02 09:55:18",0,"0%",0,"0%",3,"2.77%",3,"2.77%",1,"33.33%",1,"33.33%",0,"0%",0,"0%",0,"0%",0.92,"0.92%",0.92,"0.92%"
1091153,"Ongage SMTP - og.dailythrillbox.com","web.de",11,11,11,"100%",0,"0%","2026-04-03 03:00:00","2026-04-02 09:55:18",0,"0%",0,"0%",2,"18.18%",2,"18.18%",0,"0%",0,"0%",0,"0%",0,"0%",0,"0%",0,"0%",0,"0%"
1091153,"Ongage SMTP - og.dailythrillbox.com","outlook.com",9542,9542,6520,"68.32%",3022,"31.67%","2026-04-02 16:30:00","2026-04-02 09:55:18",133,"1.39%",2889,"30.27%",596,"9.14%",543,"8.32%",325,"54.53%",324,"59.66%",3,"0.04%",7,"0.1%",0,"0%",4.98,"4.98%",4.96,"4.96%"
1091153,"Ongage SMTP - og.dailythrillbox.com","yahoo.com",4042,4042,3629,"89.78%",413,"10.21%","2026-04-04 15:15:00","2026-04-02 09:55:18",413,"10.21%",0,"0%",1733,"47.75%",1705,"46.98%",1770,"102.13%",1665,"97.65%",0,"0%",0,"0%",0,"0%",48.77,"48.77%",45.88,"45.88%"
1091153,"Ongage SMTP - og.dailythrillbox.com","gmail.com",146087,146087,72533,"49.65%",73554,"50.34%","2026-04-04 21:30:00","2026-04-02 09:55:18",1054,"0.72%",72500,"49.62%",41222,"56.83%",19965,"27.52%",25042,"60.74%",18151,"90.91%",14,"0.01%",0,"0%",0,"0%",34.52,"34.52%",25.02,"25.02%"
1091153,"Ongage SMTP - og.dailythrillbox.com","live.com",2260,2260,1486,"65.75%",774,"34.24%","2026-04-02 09:45:00","2026-04-02 09:55:18",44,"1.94%",730,"32.3%",76,"5.11%",63,"4.23%",0,"0%",0,"0%",0,"0%",2,"0.13%",0,"0%",0,"0%",0,"0%"
1091153,"Ongage SMTP - og.dailythrillbox.com","icloud.com",3072,3072,3027,"98.53%",45,"1.46%","2026-04-03 05:00:00","2026-04-02 09:55:18",0,"0%",45,"1.46%",226,"7.46%",203,"6.7%",9,"3.98%",7,"3.44%",10,"0.33%",0,"0%",0,"0%",0.29,"0.29%",0.23,"0.23%"
1091153,"Ongage SMTP - og.dailythrillbox.com","hotmail.com",56893,56893,37369,"65.68%",19524,"34.31%","2026-04-04 01:00:00","2026-04-02 09:55:18",1885,"3.31%",17639,"31%",2578,"6.89%",2139,"5.72%",9,"0.34%",7,"0.32%",11,"0.02%",18,"0.04%",0,"0%",0.02,"0.02%",0.01,"0.01%"
1091153,"Ongage SMTP - og.dailythrillbox.com","googlemail.com",329,329,263,"79.93%",66,"20.06%","2026-04-02 12:00:00","2026-04-02 09:55:18",0,"0%",66,"20.06%",1,"0.38%",1,"0.38%",0,"0%",0,"0%",1,"0.38%",0,"0%",0,"0%",0,"0%",0,"0%"
1091153,"Ongage SMTP - og.dailythrillbox.com","others",3875,3875,3301,"85.18%",574,"14.81%","2026-04-04 11:00:00","2026-04-02 09:55:18",130,"3.35%",444,"11.45%",1750,"53.01%",1689,"51.16%",1467,"83.82%",1437,"85.07%",12,"0.36%",0,"0%",0,"0%",44.44,"44.44%",43.53,"43.53%"
1091152,"Ongage SMTP - og.dailysurprisezone.com","icloud.com",245,245,240,"97.95%",5,"2.04%","2026-04-02 09:45:00","2026-04-02 09:52:22",0,"0%",5,"2.04%",47,"19.58%",38,"15.83%",0,"0%",0,"0%",2,"0.83%",0,"0%",0,"0%",0,"0%",0,"0%"
1091152,"Ongage SMTP - og.dailysurprisezone.com","gmail.com",54686,54686,13669,"24.99%",41017,"75%","2026-04-04 20:45:00","2026-04-02 09:52:22",104,"0.19%",40913,"74.81%",6239,"45.64%",3310,"24.21%",3099,"49.67%",2960,"89.42%",2,"0.01%",0,"0%",0,"0%",22.67,"22.67%",21.65,"21.65%"
